customer_hash,R,F,M,cluster_id,cluster_name
4327e42f,993,1,50.43,1,Lapsed one-time
2e6b0c6f,833,1,86.34,1,Lapsed one-time
41a8cb5a,248,3,600.34,2,Loyal core (repeat buyers)
32308b62,5,1,81.68,0,Recent one-time
94b5e37f,871,1,34.45,1,Lapsed one-time
a3a074d8,489,3,197.93,2,Loyal core (repeat buyers)
90c8fdea,67,1,82.81,0,Recent one-time
af4430bc,216,1,92.14,0,Recent one-time
a452072f,114,3,338.51,2,Loyal core (repeat buyers)
05632083,1046,1,51.95,1,Lapsed one-time
bd3eb008,682,1,36.44,1,Lapsed one-time
666d5568,1028,1,7.59,1,Lapsed one-time
b967e70c,48,2,138.54,2,Loyal core (repeat buyers)
bf7b29f8,222,1,76.15,0,Recent one-time
210fde4a,63,1,56.32,0,Recent one-time
9c1733f0,275,1,55.99,0,Recent one-time
15f9d00a,238,1,109.26,0,Recent one-time
8b9c614a,754,1,33.79,1,Lapsed one-time
8bff0695,554,1,54.05,1,Lapsed one-time
a7ec1c5c,547,1,170.41,0,Recent one-time
2b2ae543,1068,1,64.34,1,Lapsed one-time
e34d362a,752,1,100.27,1,Lapsed one-time
a7e14bf4,28,1,84.99,0,Recent one-time
6d797469,618,1,88.94,1,Lapsed one-time
c96b735c,727,1,68.52,1,Lapsed one-time
4016aec3,45,1,85.19,0,Recent one-time
378414ec,282,1,82.17,0,Recent one-time
640d5548,636,1,84.61,1,Lapsed one-time
f200dfda,826,1,44.53,1,Lapsed one-time
a584d651,930,1,87.34,1,Lapsed one-time
35561c3b,175,1,128.34,0,Recent one-time
099a508d,339,1,82.38,0,Recent one-time
a88e7bef,1090,1,70.35,1,Lapsed one-time
3fb397fa,379,2,210.25,2,Loyal core (repeat buyers)
7e98d99a,895,1,81.54,1,Lapsed one-time
0847e9ed,853,1,95.42,1,Lapsed one-time
719ec764,633,1,54.42,1,Lapsed one-time
c47850a6,1046,1,64.94,1,Lapsed one-time
65826810,210,1,80.23,0,Recent one-time
75c4cac8,917,1,48.98,1,Lapsed one-time
27bcdd2e,535,1,54.67,1,Lapsed one-time
a8d8bff9,524,2,142.84,2,Loyal core (repeat buyers)
58c0cfd8,944,1,42.39,1,Lapsed one-time
383e67dd,556,1,150.26,0,Recent one-time
97970f7f,1054,1,66.14,1,Lapsed one-time
cf3d7a02,136,1,38.1,0,Recent one-time
6898fc84,996,1,43.24,1,Lapsed one-time
7ff7480c,531,1,55.12,1,Lapsed one-time
471ce4cb,817,1,103.39,1,Lapsed one-time
a4cf3003,272,1,77.77,0,Recent one-time
88c548c8,329,1,644.86,0,Recent one-time
ac17bd02,77,1,67.39,0,Recent one-time
02eac570,216,1,53.36,0,Recent one-time
00f1d0fa,408,1,95.15,0,Recent one-time
8590d2d0,115,1,30.65,0,Recent one-time
3f9faa5d,331,2,132.86,2,Loyal core (repeat buyers)
1a1eb7b2,206,1,74.48,0,Recent one-time
226ee570,569,1,55.5,1,Lapsed one-time
ae10ed6e,84,1,165.49,0,Recent one-time
d3ef6425,813,1,57.71,1,Lapsed one-time
9ba64702,169,1,43.12,0,Recent one-time
73e89be3,1064,1,48.32,1,Lapsed one-time
d609d63c,554,1,54.2,1,Lapsed one-time
6a74d544,245,1,74.27,0,Recent one-time
4f2fc901,190,1,54.39,0,Recent one-time
20ef2302,570,1,49.39,1,Lapsed one-time
f50cd772,576,2,148.36,2,Loyal core (repeat buyers)
c44aabbf,332,1,80.47,0,Recent one-time
cdffc1b1,326,1,89.48,0,Recent one-time
46643585,564,1,35.05,1,Lapsed one-time
ed618e60,557,1,140.36,0,Recent one-time
cc90192d,529,2,114.81,2,Loyal core (repeat buyers)
e5e48d78,70,1,55.42,0,Recent one-time
4ef9ba79,137,1,165.54,0,Recent one-time
3633d751,840,1,48.14,1,Lapsed one-time
59e814e8,285,1,98.74,0,Recent one-time
89016986,283,1,96.17,0,Recent one-time
194eb2aa,259,1,84.94,0,Recent one-time
8ef2ed8d,1039,1,108.28,1,Lapsed one-time
2bfcf20f,197,1,97.49,0,Recent one-time
0e915de1,471,2,110.0,2,Loyal core (repeat buyers)
d7d541cc,74,1,101.21,0,Recent one-time
ad62a794,158,1,130.5,0,Recent one-time
85195264,180,2,142.98,2,Loyal core (repeat buyers)
f3d4094b,582,1,34.25,1,Lapsed one-time
4b0ec8c8,920,1,49.6,1,Lapsed one-time
84b3803d,591,1,124.33,0,Recent one-time
4dfb3d13,1043,1,51.04,1,Lapsed one-time
a9811407,573,1,33.79,1,Lapsed one-time
